country	year	pop	continent	lifeExp	gdpPercap	Comments		
UnitedStates	1997	272911760	Americas	76.81	35767			
UnitedStates	2002	287675526	Americas	77.31	39097			
UnitedStates	2007	301139947	Americas	78.24	42951	“Rounded to two significant figures by removing a number” 		
UnitedStates	1952	157553000	Americas	68.44	13990	“Changed tbd to Americas because the US was in America”		
UnitedStates	1957	171984000	Americas	69.49	14847	“Changed Continent Americass to Americas”		
UnitedStates	1962	186538000	Americas	70.21	16173			
UnitedStates	1967	198712000	Americas	70.76	19530			
UnitedStates	1972	209896000	Americas	71.34	21806			
UnitedStates	1977	220239000	Americas	73.38	24072			
UnitedStates	1982	232187835	Americas	74.65	25009	“Missing 1982”		
UnitedStates	1987	242803533	Americas	75.02	29884			
UnitedStates	1992	256894189	Americas	76.09	32003			
								
						Do we need more data?		
